product_name,original_price,discounted_price,discount_percent,premium,quantity,rating,review_count,delivery_time,category,selling_price
Heritage Cheese Slices,75,27,64,No,100 g,4.7,100,9,cheese,48
Amul Processed Cheese Block,134,21,84,No,200 g,4.8,200,9,cheese,113
Amul Cheese Slices,149,30,79,No,200 g,4.8,200,9,cheese,119
D'lecta Cheese Slices,160,53,66,No,200 g,4.7,200,9,cheese,107
D'lecta Cheese Slices,155,46,70,No,200 g,4.6,200,9,cheese,109
Amul Processed Cheese Cubes,139,27,80,No,200 g,4.8,200,9,cheese,112
Go Cheese Slices,99,38,61,No,100 g,4.7,100,9,cheese,61
Go Processed Cheese Block,185,91,50,No,200 g,4.7,200,9,cheese,94
Heritage Cheese Slices,135,49,63,No,200 g,4.7,200,9,cheese,86
Milky Mist Shredded Mozzarella Pizza Cheese,140,28,80,No,200 g,4.8,200,9,cheese,112
Amul Diced Cheese Blend,540,78,85,No,1 kg,4.7,540,9,cheese,462
D'lecta Cheese Blocks,170,62,63,No,200 g,4.7,200,9,cheese,108
Britannia Cheese Slice,80,18,77,No,90 g,4.7,90,9,cheese,62
Britannia Cheese Cubes,135,29,78,No,200 g,4.6,200,9,cheese,106
Go Cheese Processed,155,46,70,No,200 g,4.8,200,9,cheese,109
Britannia Spreadable Cheese Triangles,135,36,73,Yes,120 g,4.4,135,9,cheese,99
Milky Mist Cheese,142,34,76,No,200 g,4.5,200,9,cheese,108
Britannia Cheese Slice,140,30,78,No,180 g,4.6,180,9,cheese,110
Milky Mist Processed Cheese,132,14,89,No,200 g,4.6,200,9,cheese,118
D'lecta Cheese Cubes,165,58,64,No,200 g,4.9,200,9,cheese,107
Britannia Cheese Block,130,35,73,No,200 g,4.3,599,9,cheese,95
Britannia Cheese Block,220,40,81,Yes,200 g,4.4,220,9,cheese,180
Amul Pizza Cheese Mozzarella Diced,560,101,81,No,1 kg,4.9,540,9,cheese,459
Amul Pizza Cheese Mozzarella Diced,220,39,82,Yes,200 g,4.7,581,9,cheese,181
Milky Mist Mozzarella Pizza Cheese,170,45,73,Yes,200 g,4.2,678,9,cheese,125
Amul Diced Cheddar,550,31,94,No,1 kg,4.2,646,9,cheese,519
Milky Mist Shredded Mozzarella Pizza Cheese,340,89,73,No,500 g,4.8,500,9,cheese,251
D'lecta Parmesan Extra Hard Cheese Blocks,350,17,95,Yes,100 g,3.9,461,9,cheese,333
D'lecta Cream Cheese,360,40,88,Yes,400 g,4.6,448,9,cheese,320
Britannia Cheese Slice,650,237,63,No,663 g,4.6,663,9,cheese,413
Britannia Cheese Slice,310,92,70,No,100 g,4.7,888,9,cheese,218
D'lecta Cheese Spread,99,29,70,No,150 g,4.6,150,9,cheese,70
Amul Cheese Spread Yummy Plain,114,15,86,No,200 g,4.6,200,9,cheese,99
Go Cheese Spread Plain,115,30,73,No,100 g,4.4,200,9,cheese,85
Go Processed Cheese Block Combo,370,180,51,No,100 g,4.2,193,9,cheese,190
Amul Diced Cheese Blend Combo,258,30,88,No,150 g,4.3,828,9,cheese,228
Britannia Cheese Spread Classic,110,32,70,No,180 g,4.9,180,9,cheese,78
Britannia Cheese Cubes Combo,270,58,78,No,200 g,4.3,639,9,cheese,212
Amul Processed Cheese Block Combo,268,42,84,No,200 g,4.5,842,9,cheese,226
Amul Cheese Slices Combo,298,60,79,No,200 g,4.6,331,9,cheese,238
Amul Cheese Slices Combo,218,44,79,No,200 g,4.3,277,9,cheese,174
Milky Mist Shredded Mozzarella Pizza Cheese Combo,280,56,80,No,200 g,4.3,634,9,cheese,224
Milky Mist Mozzarella Pizza Cheese Combo,340,94,72,No,200 g,4.5,493,9,cheese,246
Amul Processed Cheese Cubes Combo,278,54,80,No,200 g,4.4,485,9,cheese,224
Milky Mist Processed Cheese,264,42,84,No,200 g,4.2,331,9,cheese,222
D'lecta Cream Cheese,200,28,86,Yes,150 g,4.4,200,9,cheese,172
Milky Mist Cheese,284,68,76,No,150 g,4.4,520,9,cheese,216
D'lecta Cheese Slices Combo,320,106,66,No,150 g,4.6,749,9,cheese,214
Amul Processed Cheese Cubes,197,30,84,No,150 g,4.6,476,9,cheese,167
Britannia Cheese Slice Combo,280,60,78,No,150 g,4.7,543,9,cheese,220
D'lecta Cheese Cubes Combo,330,116,64,No,150 g,4.4,379,9,cheese,214
D'lecta Cheese Cubes Combo,440,78,82,No,150 g,4.4,908,9,cheese,362
D'lecta Cheese Cubes Combo,440,80,81,No,150 g,4.2,538,9,cheese,360
Go Cheese Slices Combo,198,76,61,No,150 g,4.5,328,9,cheese,122
D'lecta Parmesan Extra Hard Cheese Blocks Combo,700,44,93,No,150 g,4.5,423,9,cheese,656
Lay's American Cream,20,4,80,No,48 g,4.7,842,12,chips,16
Bingo! Original Style Chilli Sprinkled,20,4,80,No,48 g,4.7,362,12,chips,16
"Cheetos Classic Puffs, Cheese Flavoured Corn Chips, Party Snacks",134,38,71,No,135 g,4.8,186,12,chips,96
Crax Crunchy Pipes Masala Puff Snacks,60,28,53,No,65 g,4.5,65,12,chips,32
Lay's West Indies Hot 'n' Sweet Chilli Potato Chips,20,4,80,No,48 g,4.7,321,12,chips,16
Lay's India's Magic Masala Potato Chips,20,4,80,No,48 g,4.7,700,12,chips,16
Heka Bites Roasted Jowar Puffs Majestic Masala,48,11,77,No,40 g,4.5,48,12,chips,37
Cheetos Cheese Puffs,9,1,88,No,28 g,4.5,44,12,chips,8
Britannia Little Hearts Classic Crunch Flavoured Biscuits,75,21,72,No,52 g,4.2,491,12,chips,54
Kurkure Yummy PuffCorn Yummy Cheese Chips,20,4,80,No,52 g,4.8,351,12,chips,16
Lay's Potato Chips,20,3,85,No,48 g,4.7,182,12,chips,17
Ritebite Max Protein Cream,42,4,90,No,60 g,4.6,60,12,chips,38
Ritebite Max Protein Cream,84,10,88,No,10 g,4.3,292,12,chips,74
Lay's Spanish Tomato Tango Potato Chips,20,3,85,No,48 g,4.7,161,12,chips,17
Bingo! Mad Angles Achaari Masti Crisps,20,3,85,No,60 g,4.7,426,12,chips,17
Heka Bites Roasted Jowar Puffs Cheesy Salsa,48,10,79,No,40 g,4.6,48,12,chips,38
TTP Gourmet Popcorn,225,58,74,No,42 g,4.3,84,12,chips,167
Haldiram's Halke Fulke,29,1,96,No,100 g,4.6,100,12,chips,28
Cheetos Masala Balls,9,1,88,No,28 g,4.4,30,12,chips,8
4700BC Cheese Popcorn,50,8,84,No,50 g,4.5,4700,12,chips,42
4700BC Popcorn Himalayan Salt Caramel Pouch,49,14,71,No,60 g,4.5,4700,12,chips,35
Lay's Potato Chips,20,3,85,No,48 g,4.7,129,12,chips,17
Lay's Classic Salted Potato Chips,19,1,94,No,48 g,4.7,186,12,chips,18
4700BC Butter Popcorn Jumbo Pack,50,17,66,No,55 g,4.7,4700,12,chips,33
Let's Try Potato Wafers,60,23,61,No,54 g,4.3,60,12,chips,37
Kurkure Red Chilli Chataka Chips,20,3,85,No,68 g,4.7,207,12,chips,17
Yellow Diamond Cream 'N' Onion Chips,50,22,56,No,80 g,4.7,80,12,chips,28
4700BC x Netflix,26,2,92,No,30 g,4.8,4700,12,chips,24
4700BC Cheese Popcorn Jumbo Pack,27,1,96,No,25 g,3.9,347,12,chips,26
Yellow Diamond Spicy Korean Chips,50,22,56,No,80 g,4.5,80,12,chips,28
Modern Kitchens Hot Chips Spicy,70,26,62,No,100 g,4.1,100,12,chips,44
Uncle Chips Plain Salted,50,14,72,No,80 g,4.7,80,12,chips,36
Modern Kitchens Wheel Chips,60,30,50,No,60 g,4.4,60,12,chips,30
Lay's American Cream,48,14,70,No,80 g,4.7,838,12,chips,34
"Cheetos Masala Balls, Crispy Chips",50,19,62,No,84 g,4.7,84,12,chips,31
Bingo! Original Style Potato Chips,50,15,70,No,85 g,4.7,85,12,chips,35
Beyond Snack Kerala Banana chips,20,3,85,No,25 g,4.4,25,12,chips,17
Too Yumm! Bhoot Potato Chips Spicy Chilli Flavour Chips,60,17,71,No,79 g,4.7,79,12,chips,43
Pringles Potato Chips,60,16,73,No,40 g,4.5,60,12,chips,44
Lay's Spanish Tomato Tango Potato Chips,30,6,80,No,67 g,4.7,161,12,chips,24
Pringles Potato Chips,60,15,75,No,40 g,4.6,60,12,chips,45
Bingo! Original Style Salt Sprinkled,50,17,66,No,50 g,4.8,85,12,chips,33
Beyond Snack Kerala Banana Chips,20,3,85,No,25 g,4.5,25,12,chips,17
Too Yumm! Dahi Papdi Chaat Multigrain Healthy Chips High Protein Crunchy Crisps,40,14,65,No,70 g,4.7,70,12,chips,26
Crax Korean Ramen Noodle Puff Chips,60,28,53,No,70 g,4.6,70,12,chips,32
